id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Colin;Langworth;Damaris_Ernser@yahoo.com;though except besides;2024-06-30T16:33:24;16600;28354
2;Lydia;Labadie;Erich_McClure58@yahoo.com;sharply van while;2024-06-30T16:43:53;19946;18379
3;Herbert;Pollich;Alfonzo56@gmail.com;thoroughly until;2024-06-30T12:13:51;6291;21234
4;Adah;Schmitt;Jenifer43@yahoo.com;transparency whose log;2024-07-01T01:32:23;5467;13087
5;Dewayne;Schmeler;Bert_Keebler@hotmail.com;expire;2024-07-01T04:49:27;2287;8040
6;Suzanne;Stark;Presley.Aufderhar-Renner@hotmail.com;yahoo jeer;2024-06-30T22:15:59;14082;19988
7;Roscoe;Lockman;Easton_Miller@yahoo.com;sans above;2024-07-01T00:43:38;18302;4183
8;Lulu;Cartwright;Cesar.Morar@yahoo.com;fumbling blissfully;2024-06-30T10:50:57;4640;20258
9;Bradley;Nienow;Garnett.Durgan16@gmail.com;discourage;2024-06-30T12:09:23;2586;19126
10;Alysha;Nikolaus;Josue.Satterfield61@hotmail.com;unwelcome psst;2024-07-01T01:32:27;10745;3380
